phrog_num	phrog_annot	phrog_category
1	integrase	integration and excision
2	terminase large subunit	head and packaging
3	transcriptional repressor	transcription regulation
4	transcriptional repressor	transcription regulation
5	tail completion or Neck1 protein	connector
6	baseplate wedge subunit	tail
7	endolysin	lysis
8	transcriptional regulator	transcription regulation
9	terminase large subunit	head and packaging
10	major head protein	head and packaging
11	baseplate spike	tail
12	portal protein	head and packaging
13	Rz-like spanin	lysis
14	minor tail protein	tail
15	terminase large subunit	head and packaging
16	DNA helicase	"DNA, RNA and nucleotide metabolism"
17	DNA polymerase	"DNA, RNA and nucleotide metabolism"
18	minor tail protein	tail
19	DnaB-like replicative helicase	"DNA, RNA and nucleotide metabolism"
20	holin	lysis
21	portal protein	head and packaging
22	thioredoxin domain	"DNA, RNA and nucleotide metabolism"
23	tail sheath	tail
24	tail length tape measure protein	tail
25	head closure Hc1	connector
26	tail completion or Neck1 protein	connector
27	tail completion or Neck1 protein	connector
28	tail length tape measure protein	tail
29	major head protein	head and packaging
30	minor tail protein	tail
31	central tail fiber J	tail
32	tail assembly protein	tail
33	distal tail protein Dit	tail
34	RusA-like Holliday junction resolvase	"DNA, RNA and nucleotide metabolism"
35	transcriptional repressor	transcription regulation
36	transcriptional regulator	transcription regulation
37	tail terminator	connector
38	terminase large subunit	head and packaging
39	tail assembly protein	tail
40	head-tail adaptor Ad1	connector
41	major tail protein	tail
42	minor tail protein	tail
43	baseplate wedge subunit	tail
44	single strand DNA binding protein	"DNA, RNA and nucleotide metabolism"
45	tail tube	tail
46	baseplate hub	tail
47	DNA primase	"DNA, RNA and nucleotide metabolism"
48	tail protein	tail
49	head decoration	head and packaging
50	DnaC-like helicase loader	"DNA, RNA and nucleotide metabolism"
51	terminase small subunit	head and packaging
52	tail protein	tail
53	head maturation protease	head and packaging
54	DksA-like zinc-finger protein	other
55	head closure	connector
56	DNA methyltransferase	other
57	terminase small subunit	head and packaging
58	tail length tape measure protein	tail
59	HNH endonuclease	"DNA, RNA and nucleotide metabolism"
60	NA	unknown function
61	2OG-Fe(II) oxygenase	"moron, auxiliary metabolic gene and host takeover"
62	DNA helicase	"DNA, RNA and nucleotide metabolism"
63	anti-repressor Ant	transcription regulation
64	portal protein	head and packaging
65	tail terminator	connector
66	excisionase and transcriptional regulator	integration and excision
67	DNA methyltransferase	other
68	portal protein	head and packaging
69	exonuclease	"DNA, RNA and nucleotide metabolism"
70	major head protein	head and packaging
71	head-tail adaptor Ad1	connector
72	NinB/ Orf homologous recombination mediator	"DNA, RNA and nucleotide metabolism"
73	head scaffolding protein	head and packaging
74	terminase small subunit	head and packaging
75	head-tail adaptor Ad1	connector
76	tail protein	tail
77	SbcC-like subunit of palindrome specific endonuclease	"DNA, RNA and nucleotide metabolism"
78	tail terminator	connector
79	anti-termination protein Q-like	transcription regulation
80	head maturation protease	head and packaging
81	2OG-Fe(II) oxygenase	"moron, auxiliary metabolic gene and host takeover"
82	head closure Hc1	connector
83	terminase small subunit	head and packaging
84	ribonucleoside-diphosphate reductase large subunit	"DNA, RNA and nucleotide metabolism"
85	thymidylate synthase	"DNA, RNA and nucleotide metabolism"
