Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
C8VQG9	reviewed	LAEA_EMENI	Protein-methionine methyltransferase laeA (EC 2.1.1.-) (Secondary metabolism regulator laeA) (Velvet complex subunit laeA)	laeA ANIA_00807	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	374		10.1038/nature04341; 10.1016/j.fgb.2008.12.003; 10.1128/ec.3.2.527-535.2004; 10.1111/j.1365-2958.2006.05330.x; 10.1128/aem.02842-07; 10.1126/science.1155888; 10.1111/j.1365-2958.2010.07051.x; 10.1371/journal.pgen.1001226; 10.1007/978-1-62703-122-6_14; 10.1371/journal.pgen.1003193; 10.1074/jbc.m113.465765; 10.1371/journal.pone.0074951	5.0	Methylation;Methyltransferase;Nucleus;Reference proteome;S-adenosyl-L-methionine;Sporulation;Transcription;Transcription regulation;Transferase;Virulence	KW-0488; KW-0489; KW-0539; KW-1185; KW-0949; KW-0749; KW-0804; KW-0805; KW-0808; KW-0843	PF13489;	cd02440;	IPR029063;		Methyltransferase superfamily, LaeA methyltransferase family	PTHR43591;PTHR43591:SF30;	ani:ANIA_00807;			ascospore formation [GO:0030437]; biological process involved in interaction with host [GO:0051701]; methylation [GO:0032259]; penicillin metabolic process [GO:0042316]; positive regulation of ascospore formation [GO:0075296]; positive regulation of penicillin metabolic process [GO:0033246]; positive regulation of sterigmatocystin biosynthetic process [GO:0010914]; regulation of secondary metabolite biosynthetic process [GO:1900376]; sterigmatocystin metabolic process [GO:0045460]	nucleus [GO:0005634]; methyltransferase activity [GO:0008168]; ascospore formation [GO:0030437]; biological process involved in interaction with host [GO:0051701]; methylation [GO:0032259]; penicillin metabolic process [GO:0042316]; positive regulation of ascospore formation [GO:0075296]; positive regulation of penicillin metabolic process [GO:0033246]; positive regulation of sterigmatocystin biosynthetic process [GO:0010914]; regulation of secondary metabolite biosynthetic process [GO:1900376]; sterigmatocystin metabolic process [GO:0045460]	2876583;
C8VTS4	reviewed	VELB_EMENI	Velvet complex subunit B	velB ANIA_00363	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	369	Q5BBX1	10.1038/nature04341; 10.1016/j.fgb.2008.12.003; 10.1126/science.1155888; 10.1371/journal.pgen.1001226; 10.1007/978-1-62703-122-6_14; 10.1371/journal.pone.0045935; 10.1371/journal.pgen.1003193; 10.1111/mmi.13275; 10.1038/srep10199; 10.1371/journal.pbio.1001750	5.0	3D-structure;Cytoplasm;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0002; KW-0963; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805	PF11754;		IPR021740;IPR037525;IPR038491;		Velvet family, VelB subfamily	PTHR33572;PTHR33572:SF3;	ani:ANIA_00363;			cellular response to light stimulus [GO:0071482]; conidium formation [GO:0048315]; negative regulation of conidium formation [GO:0075308]; positive regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043941]; positive regulation of sterigmatocystin biosynthetic process [GO:0010914]; sexual sporulation resulting in formation of a cellular spore [GO:0043935]; sterigmatocystin biosynthetic process [GO:0045461]; trehalose biosynthetic process [GO:0005992]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; cellular response to light stimulus [GO:0071482]; conidium formation [GO:0048315]; negative regulation of conidium formation [GO:0075308]; positive regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043941]; positive regulation of sterigmatocystin biosynthetic process [GO:0010914]; sexual sporulation resulting in formation of a cellular spore [GO:0043935]; sterigmatocystin biosynthetic process [GO:0045461]; trehalose biosynthetic process [GO:0005992]	2876142;
C8VTV4	reviewed	VEA_EMENI	Developmental and secondary metabolism regulator veA (Velvet complex subunit A)	veA ANIA_01052	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	573		10.1016/s1087-1845(02)00029-4; 10.1038/nature04341; 10.1016/j.fgb.2008.12.003; 10.1101/gad.4.9.1473; 10.1093/genetics/126.4.869; 10.1093/genetics/149.4.1777; 10.1007/s00203-002-0463-x; 10.1128/ec.2.6.1178-1186.2003; 10.1016/s1087-1845(02)00527-3; 10.1007/s00203-007-0224-y; 10.1111/j.1365-2958.2006.05506.x; 10.1016/j.cub.2008.01.061; 10.1016/j.fgb.2007.09.008; 10.1126/science.1155888; 10.1007/s00294-009-0253-y; 10.1016/j.fgb.2009.03.006; 10.1007/s00438-008-0390-x; 10.1111/j.1365-2958.2009.06606.x; 10.1016/j.fgb.2010.08.007; 10.1371/journal.pgen.1001226; 10.1007/978-1-62703-122-6_14; 10.1111/mmi.12326; 10.1371/journal.pgen.1003193; 10.1111/mmi.13275	5.0	Cytoplasm;Nucleus;Phosphoprotein;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0963; KW-0539; KW-0597; KW-1185; KW-0749; KW-0804; KW-0805	PF11754;		IPR021740;IPR037525;IPR038491;		Velvet family, VeA subfamily	PTHR33572:SF14;PTHR33572;	ani:ANIA_01052;			sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; sporulation resulting in formation of a cellular spore [GO:0030435]	2876830;
D5TM67	reviewed	CDAS_BACT1	Diadenylate cyclase CdaS (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase)	cdaS dacB BMB171_C4535	Bacillus thuringiensis (strain BMB171)	201		10.1128/jb.00562-10; 10.3389/fmicb.2015.00908	5.0	ATP-binding;Nucleotide-binding;Nucleotidyltransferase;Sporulation;Transferase	KW-0067; KW-0547; KW-0548; KW-0749; KW-0808	PF10372;PF02457;		IPR014046;IPR034693;IPR019457;IPR053472;IPR050338;IPR036888;IPR003390;	NF038328;	Adenylate cyclase family, DacB/CdaS subfamily	PTHR34185:SF2;PTHR34185;	btb:BMB171_C4535;			cAMP biosynthetic process [GO:0006171]; sporulation resulting in formation of a cellular spore [GO:0030435]	adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; diadenylate cyclase activity [GO:0106408]; cAMP biosynthetic process [GO:0006171]; sporulation resulting in formation of a cellular spore [GO:0030435]	
E9RCK4	reviewed	VEA_ASPFU	Developmental and secondary metabolism regulator veA (Velvet complex subunit A)	veA AFUA_1G12490	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	570		10.1016/j.fgb.2003.12.003; 10.1038/nature04332; 10.1128/ec.4.7.1298-1307.2005; 10.1128/ec.00222-12; 10.1111/mmi.12032; 10.1371/journal.pone.0077147	5.0	Cytoplasm;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0963; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805	PF11754;		IPR021740;IPR037525;IPR038491;		Velvet family, VeA subfamily	PTHR33572:SF14;PTHR33572;	afm:AFUA_1G12490;			asexual sporulation resulting in formation of a cellular spore [GO:0043936]; conidiophore development [GO:0070787]; negative regulation of conidiophore development [GO:0070794]; negative regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043942]; positive regulation of asexual sporulation resulting in formation of a cellular spore [GO:0043945]; positive regulation of gliotoxin biosynthetic process [GO:1900691]; spore germination [GO:0009847]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; asexual sporulation resulting in formation of a cellular spore [GO:0043936]; conidiophore development [GO:0070787]; negative regulation of conidiophore development [GO:0070794]; negative regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043942]; positive regulation of asexual sporulation resulting in formation of a cellular spore [GO:0043945]; positive regulation of gliotoxin biosynthetic process [GO:1900691]; spore germination [GO:0009847]	3510437;
O00841	reviewed	CUDA_DICDI	Putative transcriptional regulator cudA	cudA DDB_G0284465	Dictyostelium discoideum (Social amoeba)	802		10.1242/dev.124.14.2719; 10.1038/nature03481; 10.1242/dev.127.12.2705; 10.1006/dbio.2001.0232	5.0	Developmental protein;Differentiation;DNA-binding;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0217; KW-0221; KW-0238; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805			IPR040430;			PTHR38092;PTHR38092:SF1;	ddi:DDB_G0284465;			cell differentiation [GO:0030154]; cell surface receptor signaling pathway via STAT [GO:0097696]; culmination involved in sorocarp development [GO:0031154]; positive regulation of gene expression [GO:0010628]; sporulation resulting in formation of a cellular spore [GO:0030435]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; cell differentiation [GO:0030154]; cell surface receptor signaling pathway via STAT [GO:0097696]; culmination involved in sorocarp development [GO:0031154]; positive regulation of gene expression [GO:0010628]; sporulation resulting in formation of a cellular spore [GO:0030435]	8624635;
O13766	reviewed	MDE10_SCHPO	Zinc metalloprotease mde10 (EC 3.4.24.-) (Meiotically up-regulated gene 139 protein) (Sporulation protein mde10)	mde10 mug139 SPAC17A5.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	512		10.1038/nature724; 10.1046/j.1365-2443.2000.00317.x; 10.1128/ec.3.1.27-39.2004; 10.1016/j.cub.2005.10.038; 10.1038/nbt1222	5.0	Disulfide bond;Endoplasmic reticulum;Glycoprotein;Hydrolase;Meiosis;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal;Sporulation;Zinc	KW-1015; KW-0256; KW-0325; KW-0378; KW-0469; KW-0479; KW-0482; KW-0645; KW-1185; KW-0732; KW-0749; KW-0862	PF00200;PF13688;		IPR001762;IPR036436;IPR024079;IPR001590;			PTHR11905;PTHR11905:SF159;	spo:2542178;	M12.180;		ascospore wall assembly [GO:0030476]; proteolysis [GO:0006508]	ascospore wall [GO:0005619]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; ascospore wall assembly [GO:0030476]; proteolysis [GO:0006508]	2542178;
O13978	reviewed	AT101_SCHPO	Autophagy-related protein 101 (Meiotically up-regulated gene protein 66)	atg101 mug66 SPAC25H1.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	184	O36019	10.1038/nature724; 10.1016/j.cub.2005.10.038; 10.1038/nbt1222; 10.1371/journal.pgen.1003715; 10.1080/15548627.2017.1382782; 10.1038/nsmb.3036	5.0	3D-structure;Autophagy;Cytoplasm;Meiosis;Membrane;Nucleus;Protein transport;Reference proteome;Sporulation;Transport	KW-0002; KW-0072; KW-0963; KW-0469; KW-0472; KW-0539; KW-0653; KW-1185; KW-0749; KW-0813	PF07855;		IPR012445;		ATG101 family	PTHR13292;PTHR13292:SF0;	spo:2542723;			autophagosome assembly [GO:0000045]; macroautophagy [GO:0016236]; meiotic cell cycle [GO:0051321]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]	Atg1/ULK1 kinase complex [GO:1990316]; cytosol [GO:0005829]; nucleus [GO:0005634]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; protein kinase binding [GO:0019901]; autophagosome assembly [GO:0000045]; macroautophagy [GO:0016236]; meiotic cell cycle [GO:0051321]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]	2542723;
O14008	reviewed	CAM2_SCHPO	Myosin 1 light chain cam2 (Calmodulin-2)	cam2 SPAC29A4.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	143		10.1038/nature724; 10.1038/ng951; 10.1083/jcb.200404045; 10.1247/csf.06027; 10.1038/nbt1222; 10.1242/jcs.067850	5.0	Cytoplasm;Meiosis;Membrane;Reference proteome;Repeat;Sporulation	KW-0963; KW-0469; KW-0472; KW-1185; KW-0677; KW-0749	PF13499;	cd00051;	IPR050230;IPR011992;IPR002048;		Calmodulin family	PTHR23048:SF0;PTHR23048;	spo:2542611;			actin cytoskeleton organization [GO:0030036]; ascospore formation [GO:0030437]; ascospore-type prospore membrane formation [GO:0032120]; microtubule cytoskeleton organization [GO:0000226]; spindle pole body organization [GO:0051300]	cell cortex [GO:0005938]; cell cortex of cell tip [GO:0051285]; cell tip [GO:0051286]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mating projection actin fusion focus [GO:1990819]; mating projection tip [GO:0043332]; medial cortex [GO:0031097]; myosin I complex [GO:0045160]; prospore membrane [GO:0005628]; calcium ion binding [GO:0005509]; enzyme regulator activity [GO:0030234]; actin cytoskeleton organization [GO:0030036]; ascospore formation [GO:0030437]; ascospore-type prospore membrane formation [GO:0032120]; microtubule cytoskeleton organization [GO:0000226]; spindle pole body organization [GO:0051300]	2542611;
O14072	reviewed	ATC4_SCHPO	Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (P-type ATPase cta4) (P5A-type ATPase cta4) (Sporulation protein essential for vegetative growth 4)	cta4 sev4 SPAC2E11.07c SPACUNK4.07c SPAPYUK71.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1211		10.1038/nature724; 10.1046/j.1365-2443.2000.00317.x; 10.1083/jcb.200111012; 10.1266/ggs.80.317; 10.1371/journal.pone.0027843	5.0	ATP-binding;Cell cycle;Cell division;Endoplasmic reticulum;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Protein transport;Reference proteome;Sporulation;Translocase;Transmembrane;Transmembrane helix;Transport	KW-0067; KW-0131; KW-0132; KW-0256; KW-0460; KW-0472; KW-0479; KW-0547; KW-0653; KW-1185; KW-0749; KW-1278; KW-0812; KW-1133; KW-0813	PF00122;	cd07543;	IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006544;IPR047820;IPR001757;IPR044492;	TIGR01494;TIGR01657;	Cation transport ATPase (P-type) (TC 3.A.3) family, Type V subfamily	PTHR45630;PTHR45630:SF7;	spo:2542381;			cell division [GO:0051301]; extraction of mislocalized protein from ER membrane [GO:0140569]; intracellular calcium ion homeostasis [GO:0006874]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]; transmembrane transport [GO:0055085]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; membrane protein dislocase activity [GO:0140567]; metal ion binding [GO:0046872]; P-type ion transporter activity [GO:0015662]; cell division [GO:0051301]; extraction of mislocalized protein from ER membrane [GO:0140569]; intracellular calcium ion homeostasis [GO:0006874]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]; transmembrane transport [GO:0055085]	2542381;
