From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
BSU_16910	A0AAT9J3Y0	unreviewed	A0AAT9J3Y0_BACSU	Cell shape determination factor	rodZ BSU_16910	Bacillus subtilis (strain 168)	307		10.1038/36786; .1099/mic.0.027839-0; 10.1099/mic.0.064691-0; https://doi.org/10.1111/1751-7915.13043; 10.1111/1751-7915.14257	1.0	Membrane;Transmembrane;Transmembrane helix	KW-0472; KW-0812; KW-1133	PF13413;PF13464;	cd00093;	IPR050400;IPR001387;IPR010982;IPR025194;			PTHR34475;PTHR34475:SF1;						
BSU_04785	A0A2K4Z9G8	reviewed	COMPA_BACSU	Cortex morphogenetic protein A	cmpA BSU_04785	Bacillus subtilis (strain 168)	37		10.1038/36786; 10.1111/1751-7915.13043; 10.1111/j.1365-2958.2012.08052.x; 10.1016/j.devcel.2015.08.009	3.0	Reference proteome;Sporulation	KW-1185; KW-0749			IPR047764;	NF033225;						sporulation resulting in formation of a cellular spore [GO:0030435]	intracellular immature spore [GO:0042763]; sporulation resulting in formation of a cellular spore [GO:0030435]	92915671;
BSU_23616	L8EBJ9	reviewed	MCIZ_BACSU	Cell division inhibitor MciZ (FtsZ assembly inhibitor) (Mother cell inhibitor of FtsZ)	mciZ BSU_23616	Bacillus subtilis (strain 168)	40		10.1038/36786; 10.1111/j.1365-2958.2008.06173.x; 10.1021/bi301237m; 10.1073/pnas.1414242112	3.0	3D-structure;Reference proteome;Sporulation	KW-0002; KW-1185; KW-0749	PF13072;		IPR025177;							sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	
BSU_24480	A0AAT9J413	unreviewed	A0AAT9J413_BACSU	Spore germination membrane protein	yqhR BSU_24480	Bacillus subtilis (strain 168)	177		10.1038/36786; .1099/mic.0.027839-0; 10.1099/mic.0.064691-0; https://doi.org/10.1111/1751-7915.13043; 10.1111/1751-7915.14257	1.0	Membrane;Transmembrane;Transmembrane helix	KW-0472; KW-0812; KW-1133	PF11085;		IPR024563;									
BSU01650	P40407	reviewed	NAMZ_BACSU	Peptidoglycan beta-N-acetylmuramidase NamZ (EC 3.2.1.92) (Exo-beta-N-acetylmuramidase NamZ) (ORF2)	namZ ybbC yzbB BSU01650	Bacillus subtilis (strain 168)	414		10.1016/0005-2728(94)90131-7; 10.1099/00221287-143-8-2763; 10.1038/36786; 10.1016/j.jbc.2021.100519	4.0	Cell wall biogenesis/degradation;Hydrolase;Reference proteome;Secreted;Signal	KW-0961; KW-0378; KW-1185; KW-0964; KW-0732	PF20732;PF07075;		IPR008302;IPR048503;IPR048502;		Glycoside hydrolase 171 family	PTHR42915;PTHR42915:SF1;	bsu:BSU01650;			cell wall organization [GO:0071555]	extracellular region [GO:0005576]; peptidoglycan beta-N-acetylmuramidase activity [GO:0033922]; cell wall organization [GO:0071555]	938889;
BSU16770	Q04796	reviewed	DAPA_BACSU	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA BSU16770	Bacillus subtilis (strain 168)	290		10.1016/s0021-9258(18)98372-9; 10.1038/36786; 10.1002/elps.1150180820	3.0	Amino-acid biosynthesis;Cytoplasm;Diaminopimelate biosynthesis;Direct protein sequencing;Lyase;Lysine biosynthesis;Reference proteome;Schiff base	KW-0028; KW-0963; KW-0220; KW-0903; KW-0456; KW-0457; KW-1185; KW-0704	PF00701;	cd00950;	IPR013785;IPR005263;IPR002220;IPR020625;IPR020624;	TIGR00674;	DapA family	PTHR12128:SF66;PTHR12128;	bsu:BSU16770;			diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytosol [GO:0005829]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	939657;
BSU24360	P49785	reviewed	SP3AH_BACSU	Stage III sporulation protein AH	spoIIIAH BSU24360	Bacillus subtilis (strain 168)	218	P71044	10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1101/gad.1252704; 10.1111/j.1365-2958.2005.04501.x; 10.1111/j.1365-2958.2005.04811.x; 10.1016/j.cell.2006.06.053; 10.1111/j.1365-2958.2007.05887.x; 10.1074/jbc.m708024200; 10.1111/j.1365-2958.2008.06289.x; 10.1073/pnas.0806301105	3.0	3D-structure;Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0002; KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF12685;		IPR024232;IPR038503;				bsu:BSU24360;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; sporulation resulting in formation of a cellular spore [GO:0030435]	86873017;938600;
BSU00240	P37534	reviewed	GIN_BACSU	Anti-sigma-G factor Gin (Protein CsfB)	csfB gin yaaM BSU00240	Bacillus subtilis (strain 168)	64		10.1093/dnares/1.1.1; 10.1038/36786; 10.1128/jb.178.16.5039-5041.1996; 10.1128/jb.01265-07; 10.1111/j.1365-2958.2008.06121.x; 10.1016/j.jmb.2009.05.073	5.0	3D-structure;Metal-binding;Reference proteome;Sporulation;Transcription;Transcription regulation;Zinc	KW-0002; KW-0479; KW-1185; KW-0749; KW-0804; KW-0805; KW-0862	PF10764;		IPR019700;				bsu:BSU00240;			sporulation resulting in formation of a cellular spore [GO:0030435]	metal ion binding [GO:0046872]; sporulation resulting in formation of a cellular spore [GO:0030435]	937016;
BSU13360	O34495	reviewed	YKOP_BACSU	Uncharacterized protein YkoP	ykoP BSU13360	Bacillus subtilis (strain 168)	183		10.1038/36786; 10.1099/mic.0.027839-0	1.0	Reference proteome	KW-1185	PF22790;		IPR054467;				bsu:BSU13360;					936444;
BSU12110	O34554	reviewed	YJFA_BACSU	Uncharacterized protein YjfA	yjfA BSU12110	Bacillus subtilis (strain 168)	157		10.1038/36786	1.0	Reference proteome;Signal	KW-1185; KW-0732	PF10901;		IPR021224;				bsu:BSU12110;					939830;
