"","gene_id.uniref90","gene_id.ko","gene_description","module","sheet","header","subheader","potential_amg","strain","dan.source","From","Reviewed","Protein names","Gene Names","Annotation","Keywords","PubMed ID","Gene Names (ORF)","KEGG","eggNOG","RefSeq","CAZy","BRENDA","OrthoDB","Pfam","InterPro","BioCyc","UniPathway","uniprot.source","FinalID"
"1","A0A2K4Z9G8",NA,"cmpA;cortex morphogenic protein A, adapter protein targeting [[protein|A25C1530DA7BB007A288E525404E9F775E219FE8]] for degradation by [[protein|ClpXP]] upon spore envelope defects","Spore coat proteins","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","A0A2K4Z9G8","reviewed","Cortex morphogenetic protein A","cmpA BSU_04785",3,"Reference proteome;Sporulation","9384377; 29280348; 22463703; 26387458","","","","WP_003225207.1;YP_009513946.1;","","","2691694at2;","","IPR047764;","BSUB:MONOMER8J2-49;","","ML","A0A2K4Z9G8"
"2","A0A2K4Z9K9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0A2K4Z9K9","unreviewed","Uncharacterized protein","BSU_26569",1,"Reference proteome","9384377","BSU_26569","","","WP_020861861.1;YP_009513984.1;","","","","","","","","ML","A0A2K4Z9K9"
"3","A0A9P1JHP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0A9P1JHP2","unreviewed","Capsular polysaccharide biosynthesis enzyme N-terminal part of YpqP (EC 5.1.3.-)","yodU BAMF_2063",1,"Isomerase;Reference proteome","20817842; 21262282","","bao:BAMF_2063;","","WP_014471907.1;","","","","PF02719;","IPR036291;IPR003869;IPR051203;","","","ML","A0A9P1JHP2"
"4","A0A9P1JI50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0A9P1JI50","unreviewed","Capsular polysaccharide biosynthesis enzyme C-terminal part of YpqP","ypqP BAMF_2070",1,"Reference proteome","20817842; 21262282","","bao:BAMF_2070;","","WP_038462831.1;","","","","PF02719;","IPR036291;IPR003869;IPR051203;","","","ML","A0A9P1JI50"
"5","A0AAT9J3Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0AAT9J3Y0","unreviewed","Cell shape determination factor","rodZ BSU_16910",1,"Membrane;Transmembrane;Transmembrane helix","9384377; 19383706; 23429746; 29280348; 37002859","BSU_16910","","","","","","","PF13413;PF13464;","IPR050400;IPR001387;IPR010982;IPR025194;","","","ML","A0AAT9J3Y0"
"6","A0AAU8VKT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0AAU8VKT1","unreviewed","Uncharacterized protein","yfmA B4U62_04265",1,"","","B4U62_04265","","","","","","","","","","","ML","A0AAU8VKT1"
"7","A0PZS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0PZS6","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB NT01CX_1805",4,"ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase","17115055","","cno:NT01CX_1805;","COG2172;","WP_011721883.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;IPR003594;","","","ML","A0PZS6"
"8","A0RAQ6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0RAQ6","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr BALH_0933",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17337577","","btl:BALH_0933;","","WP_000834918.1;","","","","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","","ML","A0RAQ6"
"9","A0RH02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0RH02","reviewed","Small, acid-soluble spore protein Tlp","tlp BALH_3249",1,"Sporulation","17337577","","btl:BALH_3249;","","WP_001133509.1;","","","","PF19824;","IPR017524;","","","ML","A0RH02"
"10","A0RHX9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0RHX9","reviewed","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","tgl BALH_3589",2,"Acyltransferase;Sporulation;Transferase","17337577","","btl:BALH_3589;","","WP_000635324.1;","","","","PF20085;","IPR020916;","","","ML","A0RHX9"
"11","A0RI78",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0RI78","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB BALH_3691",4,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17337577","","btl:BALH_3691;","","WP_001243400.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;IPR003594;","","","ML","A0RI78"
"12","A0RKS4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0RKS4","reviewed","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","gpmI BALH_4628",3,"Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Sporulation","17337577","","btl:BALH_4628;","","WP_001231156.1;","","","","PF06415;PF01676;","IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;","","UPA00109;","ML","A0RKS4"
"13","A3DEN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3DEN2","reviewed","Small, acid-soluble spore protein H (SASP H)","sspH Cthe_1179",1,"Reference proteome;Sporulation","","","cth:Cthe_1179;","ENOG5030S3N;","WP_003519171.1;","","","1683648at2;","PF08141;","IPR012610;","","","ML","A3DEN2"
"14","A4FB46",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4FB46","reviewed","Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB SACE_1961",2,"Cell cycle;Cell division;Coiled coil;Reference proteome;Septation;Sporulation","19567872; 17369815","","sen:SACE_1961;","ENOG5032RFA;","WP_011873518.1;","","","3853096at2;","PF04686;","IPR006776;IPR038658;","","","ML","A4FB46"
"15","A4IKI9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4IKI9","reviewed","Small, acid-soluble spore protein K (SASP K)","sspK GTNG_0461",2,"Sporulation","17372208","","gtn:GTNG_0461;","ENOG5033JD2;","WP_008881563.1;","","","","PF08176;","IPR012611;","","","ML","A4IKI9"
"16","A4IKT9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4IKT9","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr GTNG_0561",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17372208","","gtn:GTNG_0561;","COG1846;","WP_011886866.1;","","","","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","","ML","A4IKT9"
"17","A4IMM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4IMM1","reviewed","Small, acid-soluble spore protein P (SASP P)","sspP GTNG_1203",2,"Sporulation","17372208","","gtn:GTNG_1203;","ENOG5032ZXB;","WP_081432638.1;","","","","PF08179;","IPR012614;","","","ML","A4IMM1"
"18","A4IMM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4IMM3","reviewed","Small, acid-soluble spore protein O (SASP O)","sspO GTNG_1205",2,"Sporulation","17372208","","gtn:GTNG_1205;","ENOG5033BZS;","WP_041264360.1;","","","","PF08175;","IPR012613;","","","ML","A4IMM3"
"19","A4IN31",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4IN31","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 GTNG_1365",2,"Sporulation","17372208","","gtn:GTNG_1365;","ENOG50304MV;","WP_008879350.1;","","","","PF08141;","IPR012610;","","","ML","A4IN31"
"20","A4IN74",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4IN74","reviewed","Small, acid-soluble spore protein N (SASP N)","sspN GTNG_1408",2,"Sporulation","17372208","","gtn:GTNG_1408;","ENOG5033HHC;","WP_011887312.1;","","","","PF08177;","IPR012612;","","","ML","A4IN74"
"21","A4IN75",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4IN75","reviewed","Small, acid-soluble spore protein Tlp","tlp GTNG_1409",2,"Sporulation","17372208","","gtn:GTNG_1409;","ENOG50330RR;","WP_008879300.1;","","","","PF19824;","IPR017524;","","","ML","A4IN75"
"22","A4IPX4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4IPX4","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 GTNG_2026",2,"Sporulation","17372208","","gtn:GTNG_2026;","ENOG50333NS;","WP_008880497.1;","","","","PF08141;","IPR012610;","","","ML","A4IPX4"
"23","A4IQI5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4IQI5","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB GTNG_2240",4,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17372208","","gtn:GTNG_2240;","COG2172;","WP_008879718.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;IPR003594;","","","ML","A4IQI5"
"24","A4ISB5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4ISB5","reviewed","Small, acid-soluble spore protein H 3 (SASP H 3)","sspH3 GTNG_2874",2,"Sporulation","17372208","","gtn:GTNG_2874;","ENOG50330J3;","WP_008881789.1;","","","","PF08141;","IPR012610;","","","ML","A4ISB5"
"25","A4X5B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4X5B6","reviewed","Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Strop_1600",2,"Cell cycle;Cell division;Reference proteome;Septation;Sporulation","19567872; 17563368","","stp:Strop_1600;","ENOG5032RFA;","WP_011905498.1;","","","","PF04686;","IPR006776;IPR038658;","","","ML","A4X5B6"
"26","A5HZY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5HZY2","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 CBO0789 CLC_0845",1,"Reference proteome;Sporulation","17519437; 18060065","","cbh:CLC_0845;cbo:CBO0789;","","WP_011948497.1;YP_001253326.1;YP_001386721.1;","","","","PF08141;","IPR012610;","","","ML","A5HZY2"
"27","A5I174",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5I174","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 CBO1236 CLC_1277",1,"Reference proteome;Sporulation","17519437; 18060065","","cbh:CLC_1277;cbo:CBO1236;","","WP_003400937.1;YP_001253760.1;YP_001387143.1;","","","","PF08141;","IPR012610;","","","ML","A5I174"
"28","A5N217",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5N217","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB CKL_3155",4,"ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase","18218779","","ckl:CKL_3155;","COG2172;","WP_012103498.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;IPR003594;","","","ML","A5N217"
"29","A6LRL7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A6LRL7","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB Cbei_0813",4,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","","","cbe:Cbei_0813;","COG2172;","WP_011968157.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;IPR003594;","","","ML","A6LRL7"
"30","A6M0F0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A6M0F0","reviewed","Small, acid-soluble spore protein H (SASP H)","sspH Cbei_3970",1,"Sporulation","","","cbe:Cbei_3970;","","WP_012060128.1;","","","","PF08141;","IPR012610;","","","ML","A6M0F0"
"31","A6TQ57",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A6TQ57","reviewed","Small, acid-soluble spore protein H (SASP H)","sspH Amet_2166",2,"Reference proteome;Sporulation","27811105","","amt:Amet_2166;","ENOG5033AUF;","WP_041720658.1;","","","1683648at2;","PF08141;","IPR012610;","","","ML","A6TQ57"
"32","A6WCJ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A6WCJ4","reviewed","Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Krad_3069",2,"Cell cycle;Cell division;Reference proteome;Septation;Sporulation","19057647; 19567872","","kra:Krad_3069;","ENOG5032RFA;","","","","","PF04686;","IPR006776;IPR038658;","","","ML","A6WCJ4"
"33","A7FS46",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7FS46","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 CLB_0831",1,"Sporulation","18060065","","cba:CLB_0831;","","WP_011948497.1;","","","","PF08141;","IPR012610;","","","ML","A7FS46"
"34","A7FTB7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7FTB7","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 CLB_1265",1,"Sporulation","18060065","","cba:CLB_1265;","","WP_003400937.1;","","","","PF08141;","IPR012610;","","","ML","A7FTB7"
"35","A7GBI7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GBI7","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 CLI_0875",1,"Sporulation","","","cbf:CLI_0875;","","WP_003403913.1;","","","","PF08141;","IPR012610;","","","ML","A7GBI7"
"36","A7GCS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GCS6","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 CLI_1321",1,"Sporulation","","","cbf:CLI_1321;","","WP_003400937.1;","","","","PF08141;","IPR012610;","","","ML","A7GCS6"
"37","A7GJW0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GJW0","reviewed","Putative septation protein SpoVG (Stage V sporulation protein G)","spoVG Bcer98_0043",2,"Cell cycle;Cell division;Septation;Sporulation","17434157","","bcy:Bcer98_0043;","COG2088;","WP_000454042.1;","","","9796286at2;","PF04026;","IPR007170;IPR036751;","","","ML","A7GJW0"
"38","A7GKY7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GKY7","reviewed","Small, acid-soluble spore protein K (SASP K)","sspK Bcer98_0440",2,"Sporulation","17434157","","bcy:Bcer98_0440;","","WP_011983551.1;","","","2382188at2;","PF08176;","IPR012611;","","","ML","A7GKY7"
"39","A7GL73",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GL73","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 Bcer98_0530",2,"Sporulation","17434157","","bcy:Bcer98_0530;","ENOG50339TA;","WP_011983637.1;","","","2721675at2;","PF08141;","IPR012610;","","","ML","A7GL73"
"40","A7GLZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GLZ1","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr Bcer98_0812",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17434157","","bcy:Bcer98_0812;","COG1846;","WP_011983903.1;","","","2393954at2;","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","","ML","A7GLZ1"
"41","A7GNL0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GNL0","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 Bcer98_1397",2,"Sporulation","17434157","","bcy:Bcer98_1397;","ENOG5033AUF;","WP_012093891.1;","","","1683648at2;","PF08141;","IPR012610;","","","ML","A7GNL0"
"42","A7GQU9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GQU9","reviewed","Small, acid-soluble spore protein N (SASP N)","sspN Bcer98_2258",2,"Sporulation","17434157","","bcy:Bcer98_2258;","","WP_012094701.1;","","","2455637at2;","PF08177;","IPR012612;","","","ML","A7GQU9"
"43","A7GQV6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GQV6","reviewed","Small, acid-soluble spore protein O (SASP O)","sspO Bcer98_2265",2,"Sporulation","17434157","","bcy:Bcer98_2265;","ENOG5033BZS;","WP_012094708.1;","","","2692139at2;","PF08175;","IPR012613;","","","ML","A7GQV6"
"44","A7GQV9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7GQV9","reviewed","Small, acid-soluble spore protein P (SASP P)","sspP Bcer98_2268",2,"Sporulation","17434157","","bcy:Bcer98_2268;","ENOG5032ZXB;","WP_012094711.1;","","","2691914at2;","PF08179;","IPR012614;","","","ML","A7GQV9"
