"","final_gene","phage","mmseqs_qseqid","sporulation_hit","Host","Description"
"104539","K01448","PP973485","PP973485_13","sporulation_gene","Clostridium","Clostridium phage CPP2_IH_BH"
"104540","K01448","X97918","X97918_30","sporulation_gene","Bacillus","Bacillus phage SPP1"
"104541","K01448","PP869283","PP869283_15","sporulation_gene","Clostridium","Clostridium phage vB_CPP_X44"
"104542","K01448","X96987","X96987_20","sporulation_gene","Bacillus","Bacillus phage GA1"
"104543","K01448","PP858851","PP858851_38","sporulation_gene","Bacillus","Bacillus phage PHBA67-J"
"104544","K01448","OP172636","OP172636_41","sporulation_gene","Anaerostipes","Anaerostipes phage AC844P2"
"104545","K01448","OP022426","OP022426_8","sporulation_gene","Clostridium","Clostridium phage vB_CpeP_PM11"
"104546","K01448","OP172635","OP172635_41","sporulation_gene","Anaerostipes","Anaerostipes phage AC844P1"
"104547","K01448","OP172635","OP172635_41","sporulation_gene","Anaerostipes","Anaerostipes phage AC844P1"
"104548","C0H434","MT366946","MT366946_178","sporulation_gene","Bacillus","Bacillus phage Hyb1phi3Ts-SPbeta"
"104549","K01448","OR397124","OR397124_49","sporulation_gene","Clostridioides","Clostridioides phage AR1086-1"
"104550","K01448","OR725122","OR725122_2","sporulation_gene","Bacillus","Bacillus phage BC-VP"
"104551","K01258","NC_071047","NC_071047_18","sporulation_gene","Bacillus","Bacillus phage vB_BanS_MrDarsey"
"104552","K01258","NC_071048","NC_071048_21","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Chewbecca"
"104553","K01258","NC_071050","NC_071050_198","sporulation_gene","Bacillus","Bacillus phage vB_BsuS_PJN02"
"104554","K01258","NC_073050","NC_073050_86","sporulation_gene","Bacillus","Bacillus phage FADO"
"104555","K01258","OK499972","OK499972_21","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Chewbecca"
"104556","K01258","OK499987","OK499987_18","sporulation_gene","Bacillus","Bacillus phage vB_BanS_MrDarsey"
