gene	scaffold	scaffold.noperiod	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_000866.4_44	NC_000866.4	NC_000866	GT63	GT63 UDP-Glc: DNA beta-glucosyltransferase (EC 2.4.1.27)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_000866.4_60	NC_000866.4	NC_000866	GT72	GT72 UDP-Glc: DNA alpha-glucosyltransferase (EC 2.4.1.26)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_5	NC_001884.1	NC_001884							1	MKTF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_24	NC_001884.1	NC_001884	GT2	"GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)"	carbon utilization	CAZY		GlycosylTransferases	1	MT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_25	NC_001884.1	NC_001884	K03611	bdbC;disulfide bond formation protein C	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	TM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_28	NC_001884.1	NC_001884	K01447	cwlH;N-acetylmuramoyl-L-alanine amidase CwlH	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	TM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_137	NC_001884.1	NC_001884	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_154	NC_001884.1	NC_001884	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP"	1	MKET
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_157	NC_001884.1	NC_001884	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP"	1	MT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_159	NC_001884.1	NC_001884	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP"	1	MT
