From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
P37526	P37526	reviewed	YAAC_BACSU	Uncharacterized protein YaaC	yaaC BSU00080	Bacillus subtilis (strain 168)	315		10.1093/dnares/1.1.1; 10.1038/36786	1.0	Reference proteome	KW-1185	PF14175;		IPR026988;				bsu:BSU00080;					939969;
P37531	P37531	reviewed	SLEL_BACSU	Cortical fragment-lytic enzyme (CFLE) (EC 3.2.1.-) (Spore germination protein) (Spore peptidoglycan N-acetylglucosaminidase)	sleL yaaH BSU00160	Bacillus subtilis (strain 168)	431		10.1093/dnares/1.1.1; 10.1038/36786; 10.1099/00221287-148-8-2383; 10.1128/jb.181.15.4584-4591.1999; 10.1128/jb.01103-09	4.0	Direct protein sequencing;Germination;Glycosidase;Hydrolase;Reference proteome;Repeat	KW-0903; KW-0309; KW-0326; KW-0378; KW-1185; KW-0677	PF00704;PF01476;	cd02874;cd00118;	IPR041704;IPR011583;IPR029070;IPR001223;IPR017853;IPR018392;IPR036779;		Glycosyl hydrolase 18 family, Chitinase class II subfamily	PTHR46066:SF2;PTHR46066;	bsu:BSU00160;		CBM50;GH18;	carbohydrate metabolic process [GO:0005975]	endomembrane system [GO:0012505]; chitin binding [GO:0008061]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; oligosaccharide binding [GO:0070492]; carbohydrate metabolic process [GO:0005975]	937029;
P24282	P24282	reviewed	BOFA_BACSU	Sigma-K factor-processing regulatory protein BofA (Bypass-of-forespore protein A)	bofA BSU00230	Bacillus subtilis (strain 168)	87		10.1093/nar/18.23.6771; 10.1093/dnares/1.1.1; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1128/jb.174.10.3177-3184.1992; 10.1099/00221287-143-4-1053; 10.1128/jb.181.17.5384-5388.1999; 10.1101/gad.977702; 10.1073/pnas.0307709101	3.0	Membrane;Metal-binding;Reference proteome;Sporulation;Transmembrane;Transmembrane helix;Zinc	KW-0472; KW-0479; KW-1185; KW-0749; KW-0812; KW-1133; KW-0862	PF07441;		IPR010001;	TIGR02862;			bsu:BSU00230;			sporulation resulting in formation of a cellular spore [GO:0030435]	membrane [GO:0016020]; metal ion binding [GO:0046872]; sporulation resulting in formation of a cellular spore [GO:0030435]	11237780;937025;
P37534	P37534	reviewed	GIN_BACSU	Anti-sigma-G factor Gin (Protein CsfB)	csfB gin yaaM BSU00240	Bacillus subtilis (strain 168)	64		10.1093/dnares/1.1.1; 10.1038/36786; 10.1128/jb.178.16.5039-5041.1996; 10.1128/jb.01265-07; 10.1111/j.1365-2958.2008.06121.x; 10.1016/j.jmb.2009.05.073	5.0	3D-structure;Metal-binding;Reference proteome;Sporulation;Transcription;Transcription regulation;Zinc	KW-0002; KW-0479; KW-1185; KW-0749; KW-0804; KW-0805; KW-0862	PF10764;		IPR019700;				bsu:BSU00240;			sporulation resulting in formation of a cellular spore [GO:0030435]	metal ion binding [GO:0046872]; sporulation resulting in formation of a cellular spore [GO:0030435]	937016;
P37541	P37541	reviewed	YAAT_BACSU	Stage 0 sporulation protein YaaT	yaaT BSU00320	Bacillus subtilis (strain 168)	275		10.1093/dnares/1.1.1; 10.1038/36786; 10.1128/jb.184.20.5545-5553.2002	2.0	Cytoplasm;Reference proteome;Sporulation	KW-0963; KW-1185; KW-0749	PF04468;		IPR047767;IPR007557;	NF041131;		PTHR43830;PTHR43830:SF3;	bsu:BSU00320;			sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; mRNA binding [GO:0003729]; sporulation resulting in formation of a cellular spore [GO:0030435]	937012;
P37548	P37548	reviewed	YABG_BACSU	Sporulation-specific protease YabG (EC 3.4.-.-)	yabG BSU00430	Bacillus subtilis (strain 168)	290		10.1093/dnares/1.1.1; 10.1038/36786; 10.1111/j.1574-6968.2000.tb09355.x; 10.1128/jb.182.7.1883-1888.2000; 10.1093/jb/mvj096	3.0	Hydrolase;Membrane;Reference proteome;Sporulation	KW-0378; KW-0472; KW-1185; KW-0749	PF05582;		IPR008764;	TIGR02855;	Peptidase U57 family		bsu:BSU00430;	U57.001;		sporulation resulting in formation of a cellular spore [GO:0030435]	endospore coat [GO:0043593]; membrane [GO:0016020]; hydrolase activity [GO:0016787]; sporulation resulting in formation of a cellular spore [GO:0030435]	937005;
P37549	P37549	reviewed	SSPF_BACSU	Protein SspF	sspF BSU00450	Bacillus subtilis (strain 168)	61		10.1016/0022-2836(84)90493-5; 10.1093/dnares/1.1.1; 10.1038/36786	2.0	DNA-binding;Reference proteome;Sporulation	KW-0238; KW-1185; KW-0749	PF00269;		IPR001448;IPR018126;IPR038300;		Alpha/beta-type SASP family		bsu:BSU00450;			DNA topological change [GO:0006265]; sporulation resulting in formation of a cellular spore [GO:0030435]	double-stranded DNA binding [GO:0003690]; DNA topological change [GO:0006265]; sporulation resulting in formation of a cellular spore [GO:0030435]	76985054;936996;
P28015	P28015	reviewed	SP5G_BACSU	Putative septation protein SpoVG (Stage V sporulation protein G)	spoVG BSU00490	Bacillus subtilis (strain 168)	97		10.1016/0167-4781(92)90536-9; 10.1093/dnares/1.1.1; 10.1038/36786; 10.1128/jb.178.15.4611-4619.1996; 10.1128/jb.181.11.3392-3401.1999	2.0	3D-structure;Cell cycle;Cell division;Direct protein sequencing;Reference proteome;Septation;Sporulation	KW-0002; KW-0131; KW-0132; KW-0903; KW-1185; KW-0717; KW-0749	PF04026;		IPR007170;IPR036751;		SpoVG family	PTHR38429;PTHR38429:SF1;	bsu:BSU00490;			asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	936959;
P37553	P37553	reviewed	FIN_BACSU	Anti-sigma-F factor Fin (Suppressor of recU and recB SubA)	fin subA yabK BSU00540	Bacillus subtilis (strain 168)	76		10.1093/dnares/1.1.1; 10.1038/36786; 10.1007/s00438-001-0616-7; 10.1128/jb.186.17.5557-5566.2004; 10.1128/jb.00949-10	3.0	3D-structure;Cytoplasm;Metal-binding;Reference proteome;Sporulation;Transcription;Transcription regulation;Zinc	KW-0002; KW-0963; KW-0479; KW-1185; KW-0749; KW-0804; KW-0805; KW-0862	PF10955;		IPR020115;				bsu:BSU00540;			regulation of gene expression [GO:0010468]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; regulation of gene expression [GO:0010468]; sporulation resulting in formation of a cellular spore [GO:0030435]	86871185;936978;
P37554	P37554	reviewed	SPOVT_BACSU	Stage V sporulation protein T	spoVT yabL BSU00560	Bacillus subtilis (strain 168)	178	P37554	10.1093/dnares/1.1.1; 10.1038/36786; 10.1128/jb.178.15.4500-4507.1996; 10.1016/j.femsle.2004.02.013; 10.1128/jb.00504-12; 10.1016/j.str.2008.08.014; 10.1016/j.jmb.2008.10.061	4.0	3D-structure;Activator;DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation	KW-0002; KW-0010; KW-0238; KW-1185; KW-0678; KW-0749; KW-0804; KW-0805	PF04014;PF15714;		IPR052731;IPR029016;IPR014213;IPR007159;IPR037914;	TIGR01439;TIGR02851;		PTHR36432;PTHR36432:SF1;	bsu:BSU00560;			sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; sporulation resulting in formation of a cellular spore [GO:0030435]	11237815;936975;
