target	product	best_hit	HMM	evalue	score	EC	gene	ORF_start	ORF_end	product_start	product_end	product_length	ORF_length-aa
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_1	Resolvase homolog YokA	VOG19856	VOG	4.7e-94	312.6			41	1678	2	531	529	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_2	Hypothetical							1881	2591				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_3	SPbeta prophage-derived uncharacterized protein YokC	VOG22067	VOG	5e-94	310.1			2696	3313	35	205	170	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_4	Hypothetical							3493	3648				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_5	hypothetical	phrog_22826	PHROG	4.1e-149	491.9			3964	4782	1	272	271	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_6	hypothetical	phrog_10524	PHROG	7.2e-81	266.1			5086	5568	2	160	158	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_7	nuclease	phrog_20876	PHROG	1.2e-146	484.8			5582	6478	22	298	276	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_8	alpha-xenorhabdolysin family binary toxin subunit A	alph_xenorhab_A	PGAP	4.4e-24	81.7			6774	7847	25	350	325	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_9	hypothetical	phrog_36924	PHROG	5.4e-113	371.3			8362	8928	4	188	184	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_10	Toxin YokI	K21489	KOFam_all_KEGG	0.0	1051.6	3.1.-.-	yokI	9028	10743	1	571	570	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_11	Antitoxin YokJ	K21490	KOFam_all_KEGG	2.8e-71	235.0		yokJ	10764	11249	1	157	156	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_12	hypothetical	phrog_25556	PHROG	3.4e-98	323.7			11289	11891	9	200	191	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_13	SPbeta prophage-derived uncharacterized N-acetyltransferase YokL	VOG62280	VOG	1.4e-99	328.3			11900	12460	10	186	176	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_14	hypothetical	phrog_35721	PHROG	1.4e-106	349.7			13086	13553	1	155	154	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_15	hypothetical	phrog_27254	PHROG	8.9e-77	251.3			13559	13915	1	118	117	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_16	hypothetical	phrog_23288	PHROG	2.3e-71	233.7			13958	14293	1	111	110	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_17	SPbeta prophage-derived uncharacterized protein YolD	VOG22629	VOG	1.7e-45	150.3			14467	14799	1	107	106	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_18	Protein UmuC	VOG02424	VOG	6.5e-184	607.8			14792	16042	11	410	399	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_19	Hypothetical							16144	16461				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_20	Hypothetical							16415	16582				
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_21	Sublancin	PF19151	PFAM	3e-37	123.2		Sublancin	16758	16928	1	56	55	101
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_22	ATP-binding cassette, subfamily C, bacteriocin exporter	K20344	KOFam_all_KEGG	1.8e-190	630.9		blpA, lagD	16986	19103	5	696	691	101
