gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0001	1603	41	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-351411747358689.5	95	197.0	0.363	3.0380000000000003e-55	p77578 VI_00064	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	95	PHANOTATE_1.5.1	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0002	1930	1799	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-4.391789644765077	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0003	1881	2591	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-196492935.55986685	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0004	2844	2722	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-0.3618182435553982	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0005	2798	3313	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-1096381.9696426012	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0006	3288	3410	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-5.135900361700785	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0007	3493	3648	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-187.05297318638247	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0008	3901	3791	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-0.0573874390346958	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0009	4782	3964	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-43548129.22509523	22826	390.0	0.791	1.2860000000000001e-124	p437803 VI_11381	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	22826	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0010	5054	4947	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-14.648963400082334	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0011	5568	5086	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-1625227.4790872359	10524	349.0	1.0	1.7569999999999999e-112	p57648 VI_00420	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	10524	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0012	6478	5582	-	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-4194812.016999716	20876	576.0	0.929	1.951e-188	NC_001884_p6	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	20876	PHANOTATE_1.5.1	CDS	#ffdf59	nuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0013	6442	6561	+	NC_001884.1_Bacillus_phage_SPBc2_complete_genome	-2.1757953775307124	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
