Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Virus hosts	Annotation	Keywords	Keyword ID
P27206	reviewed	SRFAA_BACSU	Surfactin synthase subunit 1	srfAA srfA srfA1 BSU03480	Bacillus subtilis (strain 168)	3587		10.1093/nar/21.1.93; 10.1111/j.1365-2958.1993.tb01629.x; 10.1099/13500872-142-11-3047; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1128/jb.173.5.1770-1778.1991; 10.1099/13500872-141-2-277; 10.1128/jb.173.17.5487-5493.1991; 10.1074/mcp.m600464-mcp200		4.0	Antibiotic biosynthesis;Ligase;Multifunctional enzyme;Phosphopantetheine;Phosphoprotein;Reference proteome;Repeat;Sporulation	KW-0045; KW-0436; KW-0511; KW-0596; KW-0597; KW-1185; KW-0677; KW-0749
Q04747	reviewed	SRFAB_BACSU	Surfactin synthase subunit 2	srfAB comL srfA2 BSU03490	Bacillus subtilis (strain 168)	3583		10.1093/nar/21.1.93; 10.1111/j.1365-2958.1993.tb01629.x; 10.1099/13500872-142-11-3047; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1016/0378-1097(92)90508-l; 10.1074/mcp.m600464-mcp200		4.0	Antibiotic biosynthesis;Ligase;Multifunctional enzyme;Phosphopantetheine;Phosphoprotein;Reference proteome;Repeat;Sporulation	KW-0045; KW-0436; KW-0511; KW-0596; KW-0597; KW-1185; KW-0677; KW-0749
Q45760	reviewed	CR5AA_BACUD	Pesticidal crystal protein Cry5Aa (152 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVA(a))	cry5Aa cryVA cryVA(a)	Bacillus thuringiensis subsp. darmstadiensis	1385				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45753	reviewed	CR5AB_BACUD	Pesticidal crystal protein Cry5Ab (142 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVA(b))	cry5Ab cryVA cryVA(b)	Bacillus thuringiensis subsp. darmstadiensis	1289				3.0	Direct protein sequencing;Sporulation;Toxin;Virulence	KW-0903; KW-0749; KW-0800; KW-0843
Q08787	reviewed	SRFAC_BACSU	Surfactin synthase subunit 3	srfAC srfA3 BSU03510	Bacillus subtilis (strain 168)	1275		10.1111/j.1365-2958.1993.tb01629.x; 10.1099/13500872-142-11-3047; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1074/mcp.m600464-mcp200; 10.1016/s0969-2126(02)00716-5		4.0	3D-structure;Antibiotic biosynthesis;Ligase;Phosphopantetheine;Phosphoprotein;Reference proteome;Sporulation	KW-0002; KW-0045; KW-0436; KW-0596; KW-0597; KW-1185; KW-0749
Q45754	reviewed	C12AA_BACTU	Pesticidal crystal protein Cry12Aa (142 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryXIIA(a))	cry12Aa cryVB cryXIIA(a)	Bacillus thuringiensis	1257				3.0	Direct protein sequencing;Sporulation;Toxin;Virulence	KW-0903; KW-0749; KW-0800; KW-0843
Q45712	reviewed	CR5BA_BACTU	Pesticidal crystal protein Cry5Ba (140 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVB(a))	cry5Ba cryVB(a)	Bacillus thuringiensis	1245				3.0	3D-structure;Direct protein sequencing;Sporulation;Toxin;Virulence	KW-0002; KW-0903; KW-0749; KW-0800; KW-0843
Q45774	reviewed	CR1BC_BACTM	Pesticidal crystal protein Cry1Bc (140 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIB(c))	cry1Bc cryIB(c) cryIBc	Bacillus thuringiensis subsp. morrisoni	1233				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q9ZAZ5	reviewed	CR1BD_BACTZ	Pesticidal crystal protein Cry1Bd (140 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIB(d))	cry1Bd cryE1 cryIB(d) cryLA1	Bacillus thuringiensis subsp. wuhanensis	1231		10.1007/s002849910046		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45739	reviewed	CR1BB_BACTU	Pesticidal crystal protein Cry1Bb (140 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIB(b))	cry1Bb cryET5 cryIB(b)	Bacillus thuringiensis	1229				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
