"","Host","Accession","Description","Classification","Genome.Length..bp.","Jumbophage","molGC....","Molecule","Modification.Date","Number.CDS","Positive.Strand....","Negative.Strand....","Coding.Capacity...","Low.Coding.Capacity.Warning","tRNAs","Lowest.Taxa","Genus","Sub.family","Family","Order","Class","Phylum","Kingdom","Realm","Baltimore.Group","Genbank.Division","Isolation.Host..beware.inconsistent.and.nonsense.values.","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","fna"
"1","Acetoanaerobium","PP197248","Acetoanaerobium phage ANDSL2_ph1","Acetoanaerobium phage ANDSL2_ph1 Viruses",36061,FALSE,"31.727","DNA","14-MAY-2024",61,"83.6065573770492","16.3934426229508","94.0240148637032",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Acetoanaerobium noterae DSL2","Filifactoraceae",TRUE,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","fna"
"3","Acutalibacter","ON453893","Acutalibacter phage Fontainebleau","Acutalibacter phage Fontainebleau Viruses",39241,FALSE,"59.038","DNA","11-SEP-2023",47,"95.7446808510638","4.25531914893617","93.6596926683826",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Acutalibacter muris","Acutalibacteraceae",FALSE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"4","Aeribacillus","KX965989","Aeribacillus phage AP45","Aeribacillus phage AP45 Kamchatkavirus AP45 Kamchatkavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",51606,FALSE,"38.273","DNA","06-NOV-2019",81,"80.2469135802469","19.7530864197531","92.5938844320428",NA,0,"Kamchatkavirus","Kamchatkavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Aeribacillus pallidus","Aeribacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"5","Aerococcus","MH729379","Aerococcus phage vB_AviM_AVP","Aerococcus phage vB_AviM_AVP Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",133806,FALSE,"34.505","DNA","18-SEP-2019",168,"69.0476190476191","30.952380952381","87.4945817078457",NA,6,"Herelleviridae","Unclassified","Unclassified","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Aerococcus viridans AV-X1","Aerococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"6","Agathobaculum","OP172634","Agathobaculum phage AB434P3","Agathobaculum phage AB434P3 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",45237,FALSE,"32.745","DNA","27-DEC-2022",67,"97.0149253731343","2.98507462686567","90.5188230872958",NA,5,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Agathobaculum butyriciproducens DA434","Butyricicoccaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"7","Agathobaculum","OP172633","Agathobaculum phage AB434P2","Agathobaculum phage AB434P2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44337,FALSE,"32.677","DNA","27-DEC-2022",66,"98.4848484848485","1.51515151515152","92.7960845343618",NA,5,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Agathobaculum butyriciproducens DA434","Butyricicoccaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"8","Alicyclobacillus","OQ846916","Alicyclobacillus phage KKP_3916","Alicyclobacillus phage KKP_3916 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",120131,FALSE,"40.252","DNA","29-MAY-2024",146,"30.8219178082192","69.1780821917808","86.6720496791003",NA,5,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Alicyclobacillus acidoterrestris strain KKP 3133","Alicyclobacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Alicyclobacillales","fna"
"9","Amedibacillus","OP172638","Amedibacillus phage AD70P2","Amedibacillus phage AD70P2 Guelinviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",12320,FALSE,"26.688","DNA","27-DEC-2022",15,"6.66666666666667","93.3333333333333","94.163961038961",NA,0,"Guelinviridae","Unclassified","Unclassified","Guelinviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Amedibacillus_QUJU_s CSC70","Erysipelotrichaceae",TRUE,"Bacteria","Bacillota","Bacilli","Erysipelotrichales","fna"
"10","Amedibacillus","OP172639","Amedibacillus phage AD70P3","Amedibacillus phage AD70P3 Guelinviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",12228,FALSE,"26.505","DNA","27-DEC-2022",17,"17.6470588235294","82.3529411764706","97.1050049067713",NA,0,"Guelinviridae","Unclassified","Unclassified","Guelinviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Amedibacillus_QUJU_s CSC70","Erysipelotrichaceae",TRUE,"Bacteria","Bacillota","Bacilli","Erysipelotrichales","fna"
"11","Anaerostipes","OP172636","Anaerostipes phage AC844P2","Anaerostipes phage AC844P2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",36431,FALSE,"40.284","DNA","27-DEC-2022",59,"13.5593220338983","86.4406779661017","87.5518102714721",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Anaerostipes caccae DA844","Lachnospiraceae",TRUE,"Bacteria","Bacillota","Clostridia","Lachnospirales","fna"
"12","Anaerostipes","OP172635","Anaerostipes phage AC844P1","Anaerostipes phage AC844P1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",36530,FALSE,"40.312","DNA","27-DEC-2022",59,"13.5593220338983","86.4406779661017","87.4048727073638",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Anaerostipes caccae DA844","Lachnospiraceae",TRUE,"Bacteria","Bacillota","Clostridia","Lachnospirales","fna"
