target	query	e-value	score	length	start	end	hmmDB
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_78	NF040678.1	2.7e-19	65.5	723	468	585	AMRFinder
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_22	NF000475.1	4.4e-28	94.2	706	218	696	AMRFinder
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_5	NF033082.0	2.3e-59	197.2	273	13	262	AMRFinder
NC_011421.1_Bacillus_phage_SPO1_complete_genome_79	NF040678.1	3.9e-19	65.0	723	468	585	AMRFinder
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_30	NF000143.1	1.2e-39	132.1	163	1	159	AMRFinder
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_207	GH73	2e-23	79.1	967	807	915	CAZy
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_49	GH32	1.4e-72	240.8	514	40	352	CAZy
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_34	GH23	4e-35	117.1	2298	1445	1561	CAZy
NC_011048.1_Bacillus_phage_phi29_complete_genome_19	GH24	6e-48	158.3	259	3	138	CAZy
NC_019487.1_Bacillus_phage_SP10_complete_genome_154	GH73	8.8e-24	81.1	968	808	916	CAZy
NC_019487.1_Bacillus_phage_SP10_complete_genome_73	GH32	2.6e-71	236.9	482	9	321	CAZy
NC_043027.1_Bacillus_virus_PBS1_complete_genome_86	GH25	2.3e-39	132.2	391	5	178	CAZy
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_74	GH73	3e-26	89.1	1275	1108	1215	CAZy
NC_049976.1_Bacillus_phage_Nf_complete_genome_19	GH24	8.6e-51	167.5	263	3	138	CAZy
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_106	TIGR00618	1.6e-33	77.6	638	1	266	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_108	TIGR00576	1.6e-20	67.8	172	30	162	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_122	TIGR03739	2.3e-23	79.0	340	6	334	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_126	TIGR03283	1.2e-24	81.4	384	11	230	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_131	TIGR00758	1.4e-30	102.0	610	8	169	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_131	TIGR00593	1.6e-27	60.9	610	495	597	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_133	TIGR00593	2e-65	218.1	306	9	250	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_142	TIGR00593	5.6e-51	170.3	316	3	232	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_144	TIGR02779	4.6e-26	84.2	424	151	388	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_159	TIGR01073	7.9e-140	175.8	979	30	292	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_159	TIGR01073	7.9e-140	286.9	979	565	954	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_50	TIGR02937	1e-19	66.5	232	45	224	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_58	TIGR02506	1.2e-158	522.5	757	131	744	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_59	TIGR04171	3.9e-43	144.2	347	30	344	TIGRFAM
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_99	TIGR00665	1.5e-22	76.1	457	12	435	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_161	TIGR02779	1.1e-22	75.6	424	162	378	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_163	TIGR00593	2.1e-49	158.7	322	3	315	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_164	TIGR02012	2.2e-90	299.5	348	37	343	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_168	TIGR00593	4.3e-105	308.8	895	471	856	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_168	TIGR00758	1.6e-21	72.5	895	8	166	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_171	TIGR03283	5.1e-25	83.9	383	10	229	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_182	TIGR04171	2.9e-142	469.9	368	45	362	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_183	TIGR04170	0.0	1118.6	701	9	700	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_184	TIGR00333	6.1e-35	116.4	123	3	109	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_187	TIGR00576	1.1e-25	86.2	204	82	200	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_190	TIGR00618	4.1e-34	80.2	668	1	513	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_192	TIGR00665	4.8e-26	87.7	486	13	416	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_227	TIGR00577	2.9e-54	180.7	275	1	273	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_239	TIGR02980	6.4e-30	100.8	230	13	225	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_29	TIGR02571	5.6e-50	165.6	142	2	136	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_34	TIGR03073	3.1e-40	104.8	503	214	495	TIGRFAM
LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_49	TIGR01322	3.8e-48	160.5	514	31	482	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_115	TIGR02779	3.1e-47	152.7	266	5	262	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_130	TIGR00644	3.5e-150	497.3	577	14	563	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_131	TIGR00594	2.9e-132	438.9	1306	2	1010	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_139	TIGR00675	4.9e-88	206.8	444	124	433	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_139	TIGR00675	4.9e-88	87.3	444	6	91	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_155	TIGR00333	2.1e-52	172.9	132	3	125	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_156	TIGR04170	2.2e-115	382.9	241	7	240	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_157	TIGR04170	2.2e-219	228.3	849	5	146	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_157	TIGR01445	3e-17	60.0	849	145	227	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_157	TIGR04170	2.2e-219	502.7	849	526	848	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_159	TIGR04171	5.9e-85	281.7	196	5	195	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_161	TIGR04171	4.1e-48	160.7	124	2	116	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_163	TIGR00576	1.2e-24	83.1	143	24	140	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_21	TIGR04196	1.1e-19	60.7	57	1	55	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_22	TIGR01193	5.4e-122	404.9	706	12	696	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_24	TIGR04195	9.3e-242	798.6	423	3	417	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_26	TIGR01592	4.6e-37	122.6	89	5	86	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_34	TIGR01760	9.1e-90	297.8	2298	361	706	TIGRFAM
NC_001884.1_Bacillus_phage_SPBc2_complete_genome_66	TIGR00987	1.2e-25	86.2	93	2	91	TIGRFAM
NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_16	TIGR01563	7.2e-31	102.8	110	4	103	TIGRFAM
