	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_1	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	1	125	430	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_2	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	2	402	1082	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_3	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	3	1104	1388	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_4	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	4	1912	2490	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_5	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	5	2492	3259	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_6	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	6	3261	4322	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_7	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	7	4510	4743	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_8	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	8	4880	5344	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_9	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	9	5470	5736	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_10	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	10	5842	6114	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_11	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	11	6281	6991	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_12	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	12	7203	7502	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_13	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	13	7601	7831	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_14	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	14	7954	8238	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_15	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	15	8377	8757	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_16	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	16	8761	9114	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_17	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	17	9408	9803	-1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_18	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	18	9988	10464	-1	E															0
