qseqid	sseqid	qlen	slen	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|O31982|BLYA_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0044	367	367	100	367	0	0	1	367	1	367	0	745
sp|P04189|SUBT_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	381	326	48.77	244	119	4	105	345	28	268	2.51E-69	216
sp|P35835|SUBN_BACNA	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	381	326	48.77	244	119	4	105	345	28	268	2.70E-69	216
sp|P07518|SUBT_BACPU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	275	326	47.934	242	120	4	1	239	30	268	6.01E-69	212
sp|P00783|SUBT_BACSA	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	381	326	47.951	244	121	4	105	345	28	268	2.24E-68	214
sp|P29142|SUBT_GEOSE	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	381	326	47.951	244	121	4	105	345	28	268	2.58E-68	214
sp|P00782|SUBT_BACAM	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	382	326	48.148	243	120	4	108	347	30	269	4.10E-67	211
sp|P00781|SUBD_BACLI	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	274	326	48.347	242	118	5	1	238	30	268	6.25E-67	207
sp|P29600|SUBS_LEDLE	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	269	326	47.107	242	118	5	1	234	30	269	5.19E-65	201
sp|P29599|SUBB_LEDLE	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	269	326	46.694	242	119	5	1	234	30	269	2.48E-64	200
sp|P42983|NUCB_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0037	136	142	61.972	142	48	2	1	136	1	142	1.35E-61	181
sp|Q45758|CR6BA_BACTU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0015	395	357	34.072	361	219	7	33	393	14	355	4.16E-60	194
sp|P42983|NUCB_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0094	136	142	60.563	142	50	2	1	136	1	142	2.80E-59	175
sp|Q9RNV1|FTSK_SPOUR	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0209	780	753	38.17	317	177	8	371	682	340	642	5.01E-56	201
sp|P21458|SP3E_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0209	787	753	38.245	319	176	10	376	688	340	643	5.67E-55	197
sp|Q45757|CR6AA_BACTU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0015	475	357	31.148	366	235	7	20	385	7	355	6.54E-54	180
sp|P02958|SSPC_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	72	72	100	72	0	0	1	72	1	72	2.87E-49	145
sp|P28842|SUBT_BACS9	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0019	420	326	36.601	306	150	9	77	378	3	268	5.07E-44	152
sp|Q06320|CWLC_BACSU	NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_CDS_0034	255	271	43.478	184	97	4	4	181	5	187	2.27E-43	144
sp|P39800|XLYA_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0054	297	360	43.195	169	84	5	1	160	1	166	5.69E-34	122
sp|P54450|CWLH_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0054	250	360	40.223	179	91	6	1	167	1	175	2.22E-33	119
sp|O34391|XLYB_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0252	317	236	67.5	80	26	0	238	317	157	236	6.91E-33	117
sp|P04831|SSPA_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	69	72	76.471	68	15	1	2	69	5	71	3.31E-32	102
sp|P04832|SSPB_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	67	72	77.778	63	14	0	5	67	10	72	8.73E-32	100
sp|P84584|SAS2_BACIU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	71	72	75.714	70	16	1	1	69	1	70	8.94E-32	100
sp|P54450|CWLH_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0252	250	236	65	80	28	0	170	249	157	236	1.92E-31	111
sp|P84583|SAS1_BACIU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	70	72	78.125	64	14	0	4	67	6	69	2.69E-31	99.8
sp|O34391|XLYB_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0146	317	236	63.75	80	29	0	238	317	157	236	3.25E-31	112
sp|Q9KCE0|SLEB_HALH5	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0238	330	214	45.528	123	65	1	206	328	92	212	1.11E-30	111
sp|P06552|SAS1_GEOSE	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	70	72	76.562	64	15	0	4	67	6	69	1.17E-30	98.2
sp|P54450|CWLH_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0146	250	236	46.774	124	45	2	147	249	113	236	1.84E-30	109
sp|P06553|SAS1_LACSH	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	71	72	73.913	69	16	1	1	67	1	69	4.54E-30	96.7
sp|P39800|XLYA_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0252	297	236	61.25	80	31	0	217	296	157	236	1.43E-29	108
sp|P0A3V1|SLEB_BACCE	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0238	259	214	42.609	115	66	0	145	259	100	214	3.28E-29	105
sp|P0A3V0|SLEB_BACCR	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0238	259	214	42.609	115	66	0	145	259	100	214	3.28E-29	105
sp|P50739|SLEB_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0238	305	214	44.737	114	63	0	190	303	99	212	4.76E-29	106
sp|P10571|SAS2_PRIMG	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	73	72	69.231	65	20	0	2	66	5	69	1.02E-28	93.6
sp|P04834|SAS4_PRIMG	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	69	72	69.231	65	20	0	2	66	5	69	1.07E-28	93.2
sp|P24808|CWLA_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0146	272	236	46.218	119	61	1	154	272	119	234	1.49E-28	104
sp|P02960|SASC_PRIMG	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	72	72	64.706	68	24	0	5	72	4	71	1.57E-28	92.8
sp|P24808|CWLA_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0252	272	236	59.756	82	30	1	191	272	156	234	1.72E-28	104
sp|P10570|SAS1_PRIMG	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	69	72	69.231	65	20	0	2	66	5	69	3.41E-28	92
sp|P39800|XLYA_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0146	297	236	57.5	80	34	0	217	296	157	236	5.11E-28	103
sp|P59105|SLEB_OCEIH	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0238	276	214	41.739	115	67	0	162	276	100	214	3.52E-27	100
sp|Q00213|SAS1_HALH3	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	72	72	64.062	64	23	0	2	65	7	70	4.08E-27	89.4
sp|P0A4F4|SAS2_BACCR	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	65	72	68.852	61	19	0	2	62	9	69	1.32E-26	87.8
sp|P0A4F5|SAS2_BACCE	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	65	72	68.852	61	19	0	2	62	9	69	1.32E-26	87.8
sp|P02959|SASA_PRIMG	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	62	72	68.333	60	19	0	3	62	11	70	1.58E-26	87.4
sp|P04835|SAS5_PRIMG	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	73	72	65.079	63	22	0	4	66	7	69	2.23E-25	85.1
sp|P0A4F2|SAS1_BACCR	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	70	72	60	65	26	0	3	67	6	70	2.15E-24	82.4
sp|P0A4F3|SAS1_BACCE	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	70	72	60	65	26	0	3	67	6	70	2.15E-24	82.4
sp|P52969|SAS2_SPOUR	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0235	67	72	68.333	60	19	0	5	64	10	69	3.37E-24	81.6
