Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Virus hosts	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER
D1A4G7	reviewed	ECCC_THECD	ESX secretion system protein EccC (Type VII secretion system protein EccC) (T7SS protein EccC)	eccC Tcur_0607	Thermomonospora curvata (strain ATCC 19995 / DSM 43183 / JCM 3096 / KCTC 9072 / NBRC 15933 / NCIMB 10081 / Henssen B9)	1315		10.4056/sigs.1453580; 10.1016/j.cell.2015.03.040		5.0	3D-structure;ATP-binding;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	KW-0002; KW-0067; KW-1003; KW-0472; KW-0547; KW-1185; KW-0677; KW-0812; KW-1133; KW-0813	PF01580;		IPR003593;IPR023836;IPR023837;IPR050206;IPR002543;IPR027417;	TIGR03924;TIGR03925;		PTHR22683;PTHR22683:SF1;
D5TM67	reviewed	CDAS_BACT1	Diadenylate cyclase CdaS (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase)	cdaS dacB BMB171_C4535	Bacillus thuringiensis (strain BMB171)	201		10.1128/jb.00562-10; 10.3389/fmicb.2015.00908		5.0	ATP-binding;Nucleotide-binding;Nucleotidyltransferase;Sporulation;Transferase	KW-0067; KW-0547; KW-0548; KW-0749; KW-0808	PF10372;PF02457;		IPR014046;IPR034693;IPR019457;IPR053472;IPR050338;IPR036888;IPR003390;	NF038328;	Adenylate cyclase family, DacB/CdaS subfamily	PTHR34185:SF2;PTHR34185;
O31422	reviewed	SKFA_BACSU	Sporulation killing factor (SKF) (Sporulation-killing factor SkfA)	skfA ybcO BSU01910	Bacillus subtilis (strain 168)	55		10.1038/36786; 10.1073/pnas.1008368107; 10.1046/j.1365-2672.2001.01475.x; 10.1126/science.1086462; 10.1128/aem.71.4.1899-1908.2005; 10.1128/jb.187.4.1357-1368.2005; 10.1128/jb.00084-06; 10.1128/jb.01081-07; 10.1021/ja310542g		5.0	Antibiotic;Antimicrobial;Bacteriocin;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Thioether bond	KW-0044; KW-0929; KW-0078; KW-0903; KW-1015; KW-1185; KW-0964; KW-0883			IPR030919;	TIGR04404;		
O31602	reviewed	SPX_BACSU	Global transcriptional regulator Spx (Redox-responsive transcription factor Spx) (Suppressor of clpP and clpX) (Spx)	spx spxA yjbD BSU11500	Bacillus subtilis (strain 168)	131	P37871; O31606	10.1038/36786; 10.1128/jb.183.19.5617-5631.2001; 10.1046/j.1365-2958.2001.02639.x; 10.1046/j.1365-2958.2002.02963.x; 10.1128/jb.184.13.3664-3670.2002; 10.1073/pnas.0637648100; 10.1073/pnas.2235180100; 10.1111/j.1365-2958.2004.04395.x; 10.1128/jb.00443-06; 10.1128/jb.01520-06; 10.1128/jb.00130-07; 10.1111/j.1365-2958.2007.05949.x; 10.1186/1471-2180-8-128; 10.1111/j.1365-2958.2008.06330.x; 10.1128/jb.01289-08; 10.1128/jb.06660-11; 10.1099/mic.0.070482-0; 10.1111/mmi.12521; 10.1111/mmi.12671; 10.1111/mmi.13906; 10.1371/journal.pgen.1007531; 10.1128/jb.00712-18; 10.1007/s00294-019-00950-6; 10.1016/bs.ampbs.2019.05.003; 10.1073/pnas.0506592102; 10.1016/j.jsb.2009.07.001; 10.1371/journal.pone.0008664; 10.1016/j.str.2019.03.009		5.0	3D-structure;Cytoplasm;Disulfide bond;Redox-active center;Reference proteome;Stress response;Transcription;Transcription regulation	KW-0002; KW-0963; KW-1015; KW-0676; KW-1185; KW-0346; KW-0804; KW-0805	PF03960;	cd03032;	IPR006660;IPR023731;IPR036249;IPR006504;	TIGR01617;	ArsC family, Spx subfamily	PTHR30041;PTHR30041:SF7;
O31774	reviewed	RNY_BACSU	Ribonuclease Y (RNase Y) (EC 3.1.-.-)	rny ymdA BSU16960	Bacillus subtilis (strain 168)	520	P96614; P37869; O34529; P50849; Q45493; O31774	10.1038/36786; 10.1038/emboj.2009.283; 10.1074/mcp.m800546-mcp200; 10.1128/jb.00230-10; 10.1111/j.1365-2958.2010.07264.x; 10.1128/jb.05500-11; 10.4161/cib.20215; 10.1016/j.jmb.2011.12.024; 10.1111/j.1365-2958.2011.07952.x; 10.1371/journal.pgen.1002520; 10.1128/jb.00164-13; 10.1080/15476286.2016.1156288		5.0	3D-structure;Cell membrane;Coiled coil;Endonuclease;Hydrolase;Membrane;mRNA processing;Nuclease;Reference proteome;RNA-binding;Transmembrane;Transmembrane helix	KW-0002; KW-1003; KW-0175; KW-0255; KW-0378; KW-0472; KW-0507; KW-0540; KW-1185; KW-0694; KW-0812; KW-1133	PF01966;PF00013;PF12072;	cd00077;cd22431;	IPR003607;IPR006674;IPR006675;IPR004087;IPR004088;IPR036612;IPR017705;IPR022711;	TIGR00277;TIGR03319;	RNase Y family	PTHR12826;PTHR12826:SF15;
O31854	reviewed	CDAS_BACSU	Cyclic di-AMP synthase CdaS (c-di-AMP synthase) (EC 2.7.7.85) (Diadenylate cyclase) (DAC)	cdaS dacB yojJ BSU19430	Bacillus subtilis (strain 168)	207		10.1038/36786; 10.1099/mic.0.027839-0; 10.1111/j.1365-2958.2011.07953.x; 10.1126/science.1206848; 10.1074/jbc.m112.395491; 10.1074/jbc.m114.562066		5.0	ATP-binding;Coiled coil;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase	KW-0067; KW-0175; KW-0547; KW-0548; KW-1185; KW-0808	PF10372;PF02457;		IPR014046;IPR034693;IPR019457;IPR053472;IPR050338;IPR036888;IPR003390;	NF038328;	Adenylate cyclase family, DacB/CdaS subfamily	PTHR34185:SF2;PTHR34185;
O32076	reviewed	FLOT_BACSU	Flotillin-like protein FloT (Bacterial flotillin homolog YuaG)	floT yuaG yuaH BSU31010	Bacillus subtilis (strain 168)	509		10.1038/36786; 10.1099/mic.0.025312-0; 10.1101/gad.1945010; 10.1128/jb.00910-12; 10.1111/j.1365-2958.2012.08205.x; 10.1186/1471-2180-12-298; 10.1111/mmi.12252; 10.1128/mbio.00719-13; 10.4161/cib.29578; 10.1371/journal.pone.0116750; 10.1371/journal.pgen.1005140; 10.1099/mic.0.000137; 10.1371/journal.pgen.1006116; 10.7554/elife.57179		5.0	Cell membrane;Cell shape;Membrane;Reference proteome;Repeat	KW-1003; KW-0133; KW-0472; KW-1185; KW-0677	PF01145;PF15975;	cd03399;	IPR001107;IPR036013;IPR031905;IPR027705;		Band 7/mec-2 family, Flotillin subfamily	PTHR13806:SF31;PTHR13806;
O32219	reviewed	CADA_BACSU	Cadmium, zinc and cobalt-transporting ATPase (EC 7.2.2.12) (EC 7.2.2.21)	cadA yvgW BSU33490	Bacillus subtilis (strain 168)	702		10.1038/36786; 10.1016/s0167-4781(01)00182-8; 10.1111/j.1574-6968.2002.tb11068.x; 10.1023/a:1023425321617; 10.1016/j.gene.2006.06.014		5.0	ATP-binding;Cadmium;Cadmium resistance;Cell membrane;Cobalt;Cobalt transport;Copper;Copper transport;Ion transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Stress response;Translocase;Transmembrane;Transmembrane helix;Transport;Zinc;Zinc transport	KW-0067; KW-0104; KW-0105; KW-1003; KW-0170; KW-0171; KW-0186; KW-0187; KW-0406; KW-0460; KW-0472; KW-0479; KW-0547; KW-0597; KW-1185; KW-0346; KW-1278; KW-0812; KW-1133; KW-0813; KW-0862; KW-0864	PF00122;PF00403;PF00702;	cd00371;cd07548;	IPR023299;IPR018303;IPR023298;IPR008250;IPR051014;IPR036412;IPR023214;IPR017969;IPR006121;IPR036163;IPR027256;IPR001757;IPR044492;	TIGR01512;TIGR01525;TIGR01494;	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IB subfamily	PTHR48085;PTHR48085:SF5;
O34327	reviewed	RAPJ_BACSU	Response regulator aspartate phosphatase J (EC 3.1.3.-)	rapJ ycdE BSU02820	Bacillus subtilis (strain 168)	373	P94416; P06628	10.1099/00221287-143-8-2775; 10.1038/36786; 10.1371/journal.pbio.1000589; 10.1371/journal.pbio.1001512		5.0	3D-structure;Allosteric enzyme;Cytoplasm;Hydrolase;Protein phosphatase;Reference proteome;Repeat;Sporulation;TPR repeat	KW-0002; KW-0021; KW-0963; KW-0378; KW-0904; KW-1185; KW-0677; KW-0749; KW-0802	PF18801;		IPR051476;IPR011990;IPR019734;		Rap family	PTHR46630;PTHR46630:SF1;
O34344	reviewed	SDPC_BACSU	Sporulation delaying protein C (SdpC) (Cannibalism toxin SDP) (Killing factor SdpC) (Toxic peptide SdpC) [Cleaved into: Sporulation delaying protein (SDP)]	sdpC yvaY BSU33770	Bacillus subtilis (strain 168)	203		10.1038/36786; 10.1042/bj3480367; 10.1073/pnas.1008368107; 10.1126/science.1086462; 10.1016/s0378-1097(03)00578-0; 10.1016/s0378-1097(03)00663-3; 10.1016/j.cell.2005.11.041; 10.1128/jb.01081-07; 10.1111/j.1365-2958.2012.08038.x; 10.1128/jb.00407-13		5.0	Antibiotic;Antimicrobial;Bacteriocin;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Signal;Toxin;Virulence	KW-0044; KW-0929; KW-0078; KW-0903; KW-1015; KW-1185; KW-0964; KW-0732; KW-0800; KW-0843			IPR023888;	TIGR04032;		
