target	product	best_hit	HMM	evalue	score	EC	gene	ORF_start	ORF_end	product_start	product_end	product_length	ORF_length-aa
D5TM67	Diadenylate cyclase	K18672	KOFam_prokaryote_KEGG	1.3e-55	185.9	2.7.7.85	dacA	N/A	N/A	75	198	123	428
O32727	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	3.1e-65	215.1	2.7.11.1		N/A	N/A	2	140	138	428
O34327	Response regulator aspartate phosphatase J	K06368	KOFam_prokaryote_KEGG	3e-172	569.6	3.1.-.-	rapJ	N/A	N/A	1	372	371	428
O34398	Bifunctional non-homologous end joining protein LigD	K01971	KOFam_prokaryote_KEGG	1.7e-134	446.4	6.5.1.1	ligD	N/A	N/A	6	608	602	428
O34928	Peptidoglycan-N-acetylmuramic acid deacetylase	K01567	KOFam_prokaryote_KEGG	5e-110	364.5	3.5.1.-	pdaA	N/A	N/A	5	256	251	428
O35002	Carboxyl-terminal processing protease	K03797	KOFam_prokaryote_KEGG	4.4e-117	389.1	3.4.21.102	E3.4.21.102, prc, ctpA	N/A	N/A	21	459	438	428
P00782	Subtilisin	K01342	KOFam_prokaryote_KEGG	8.8e-151	499.9	3.4.21.62	aprE	N/A	N/A	8	381	373	428
P04189	Subtilisin	K01342	KOFam_prokaryote_KEGG	3.2e-151	501.3	3.4.21.62	aprE	N/A	N/A	2	380	378	428
P05043	Stage 0 sporulation regulatory protein	K06376	KOFam_prokaryote_KEGG	4.4e-23	78.5		spo0E	N/A	N/A	5	81	76	428
P05519	Hypothetical							N/A	N/A				
P06534	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1.4e-129	427.8		spo0A	N/A	N/A	1	266	265	428
P06575	Hypothetical							N/A	N/A				
P07788	Spore coat protein A, manganese oxidase	K06324	KOFam_prokaryote_KEGG	6.7e-255	844.2	1.16.3.3	cotA	N/A	N/A	2	511	509	428
P07860	RNA polymerase sigma-B factor	K03090	KOFam_prokaryote_KEGG	5.4e-79	262.6		sigB	N/A	N/A	19	251	232	428
P08164	NAD+ synthase	K01916	KOFam_prokaryote_KEGG	1.8e-113	376.8	6.3.1.5	nadE	N/A	N/A	2	272	270	428
P10728	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	8.7e-65	213.7	2.7.11.1		N/A	N/A	2	141	139	428
P13801	Stage II sporulation protein GA (sporulation sigma-E factor processing peptidase)	K06383	KOFam_prokaryote_KEGG	2.9e-105	348.7	3.4.23.-	spoIIGA	N/A	N/A	1	306	305	428
P16655	Cell division protein FtsQ	K03589	KOFam_prokaryote_KEGG	7.1e-41	137.8		ftsQ	N/A	N/A	17	245	228	428
P17556	ald; alanine dehydrogenase	K00259	KOFam_prokaryote_FOAM	1.4e-167	554.2	1.4.1.1		N/A	N/A	1	371	370	428
P17896	Stage IV sporulation protein B	K06399	KOFam_prokaryote_KEGG	2.8e-172	570.3	3.4.21.116	spoIVB	N/A	N/A	4	422	418	428
P20964	GTPase	K03979	KOFam_prokaryote_KEGG	9.3e-165	545.7	3.6.5.-	obgE, cgtA, MTG2	N/A	N/A	2	349	347	428
P21340	Diamine N-acetyltransferase	K22441	KOFam_prokaryote_KEGG	5.8e-64	213.0	2.3.1.57	paiA	N/A	N/A	1	171	170	428
P21458	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	K03466	KOFam_prokaryote_KEGG	2.4e-219	727.1		ftsK, spoIIIE	N/A	N/A	16	778	762	428
P24141	Oligopeptide transport system substrate-binding protein	K15580	KOFam_prokaryote_KEGG	1.7e-182	605.3		oppA, mppA	N/A	N/A	1	544	543	428
P26937	Stage IV sporulation protein FB	K06402	KOFam_prokaryote_KEGG	5.5e-79	262.6	3.4.24.-	spoIVFB	N/A	N/A	9	285	276	428
P32960	racD; aspartate racemase	K01779	KOFam_prokaryote_FOAM	5.3e-57	190.6	5.1.1.13		N/A	N/A	1	224	223	428
P35149	Stage IV sporulation protein A	K06398	KOFam_prokaryote_KEGG	1.5e-254	842.0		spoIVA	N/A	N/A	1	492	491	428
P35835	Subtilisin	K01342	KOFam_prokaryote_KEGG	2.3e-151	501.8	3.4.21.62	aprE	N/A	N/A	2	380	378	428
P37475	spoIIE; stage II sporulation protein E	K06382	KOFam_prokaryote_FOAM	2.3e-300	995.0	3.1.3.16		N/A	N/A	26	821	795	428
P37484	Cyclic-di-AMP phosphodiesterase	K22927	KOFam_prokaryote_KEGG	4.1e-265	877.9	3.1.4.59	gdpP	N/A	N/A	9	654	645	428
P37534	Hypothetical							N/A	N/A				
P37817	Stage V sporulation protein M	K06414	KOFam_prokaryote_KEGG	1.3e-20	69.2		spoVM	N/A	N/A	1	26	25	428
